N,P,K,temperature,humidity,ph,label,rainfall_log
0.6428571428571428,0.4111111111111111,0.475,0.2590663471593201,0.7902668315256756,0.5004309639330067,rice,0.9176545346600928
0.6071428571428571,0.5888888888888889,0.45000000000000007,0.3006489489234323,0.770632850772957,0.6414139173040276,rice,0.9622666345099251
0.5285714285714286,0.3333333333333333,0.4375,0.5210287723335818,0.7687514436037337,0.6262131930914476,rice,0.9901526673828132
0.6714285714285714,0.5333333333333333,0.4375,0.23096235625927142,0.8006646625084191,0.29378017717411,rice,0.9886704907448673
0.6357142857142857,0.5444444444444444,0.41250000000000003,0.4288170854924831,0.8081436804621209,0.548476710804751,rice,0.9689622840519188
0.4857142857142857,0.5888888888888889,0.41250000000000003,0.36850523910902,0.8022877900557605,0.4565030052451833,rice,0.9524487771091761
0.6642857142857143,0.5666666666666667,0.3875,0.4054326806437165,0.7908982497215867,0.627254605063907,rice,0.8809335721874967
0.6714285714285714,0.5,0.4,0.48250276763229194,0.7746481443629094,0.6176819182752495,rice,0.9306675235209387
0.42857142857142855,0.47777777777777775,0.42500000000000004,0.4179029111281667,0.7704066801900776,0.6425211831041973,rice,0.9700820818386617
0.65,0.3333333333333333,0.42500000000000004,0.395112791688226,0.7717823034149283,0.623699435248515,rice,0.9242130999612899
0.5499999999999999,0.36666666666666664,0.3875,0.3050741928652547,0.7691473446915107,0.35577506116005675,rice,0.9585082380494874
0.6357142857142857,0.4444444444444444,0.3875,0.27985479469309216,0.7724423810842008,0.48448872819709177,rice,0.8814124379406647
0.5428571428571428,0.3888888888888889,0.475,0.4587685895284739,0.8032666059104807,0.12293600213298195,rice,0.9706023219114717
0.47857142857142854,0.6,0.45000000000000007,0.30892168233129125,0.7782643089414143,0.37124026692569556,rice,0.9378602464509371
0.5928571428571429,0.39999999999999997,0.475,0.2671330218565998,0.7981485476264769,0.43483958909620646,rice,0.9735979133779589
0.7,0.4666666666666667,0.4,0.38063568445794416,0.7824499450014114,0.7303033956632998,rice,0.9576140304921865
0.42857142857142855,0.48888888888888893,0.48750000000000004,0.25421200249181897,0.8193719188689319,0.432419148129209,rice,0.9854990228020561
0.6,0.5111111111111111,0.375,0.3254436015541675,0.7744185024001528,0.37932134171382614,rice,0.9076787044513259
0.6571428571428571,0.3333333333333333,0.4375,0.3197361865136783,0.7707684974088922,0.4620715562597024,rice,0.911953864528606
0.6071428571428571,0.35555555555555557,0.42500000000000004,0.42937527922005225,0.798830511040522,0.46384878522639617,rice,0.9587251599903373
0.6285714285714286,0.5444444444444444,0.48750000000000004,0.4857509372477655,0.8121967659912075,0.40727646638588766,rice,0.9736404394109548
0.6785714285714286,0.5555555555555556,0.4625,0.5352321588713551,0.7919623117613115,0.3549128145015852,rice,0.8981291749024627
0.44285714285714284,0.4111111111111111,0.3875,0.34784107328665836,0.7910186310584174,0.4812045967842873,rice,0.9997711693602231
0.45714285714285713,0.4444444444444444,0.475,0.48081974965145124,0.8080644357584175,0.24536877008247937,rice,0.9312701488004169
0.5928571428571429,0.6111111111111112,0.3875,0.47929075879093275,0.7685966439518721,0.6060805485128933,rice,0.9134564875259494
0.65,0.3333333333333333,0.41250000000000003,0.4466225782122992,0.7730384454026569,0.4032919819274017,rice,0.8774402888933
0.5428571428571428,0.48888888888888893,0.4625,0.4494935124960182,0.819160656158316,0.1588192512944535,rice,0.9055885379837494
0.5285714285714286,0.37777777777777777,0.41250000000000003,0.3693063964700336,0.8204716650326481,0.8374198913608943,rice,0.9734901112829877
0.5642857142857143,0.4222222222222222,0.42500000000000004,0.29578543124538914,0.7751818939246212,0.6479169288460205,rice,0.9330235351514795
0.42857142857142855,0.34444444444444444,0.475,0.3781803287740777,0.8026362864754764,0.17985179666326667,rice,0.9500617569000642
0.5428571428571428,0.6111111111111112,0.42500000000000004,0.22011620521385622,0.7709607889666517,0.5697893358991426,rice,0.9287260604906722
0.6642857142857143,0.5666666666666667,0.4625,0.39806888058479784,0.7928680409428528,0.7322213543754725,rice,0.9017584431634313
0.46428571428571425,0.6111111111111112,0.475,0.31005735509690324,0.7890587397674115,0.27785169983572167,rice,0.9635259173761064
0.5285714285714286,0.5444444444444444,0.41250000000000003,0.48202110451514546,0.8073853675717793,0.6630645651563554,rice,0.9453987978747342
0.5071428571428571,0.4555555555555556,0.4375,0.23107673668407247,0.7916759829980637,0.6937404259148721,rice,0.8952108470667093
0.5142857142857142,0.3888888888888889,0.41250000000000003,0.237345353792501,0.7926615220703341,0.7874773124957464,rice,0.9939375345043846
0.5928571428571429,0.5888888888888889,0.5,0.4866779402463597,0.8079460104703061,0.33507001128447866,rice,0.9947792736449732
0.5,0.34444444444444444,0.4625,0.303945194563062,0.7754065494096496,0.6172050603475159,rice,0.9165561760861771
0.7071428571428571,0.39999999999999997,0.3875,0.4261159380364441,0.7989646668425696,0.5625209031359175,rice,0.8749789992813128
0.7071428571428571,0.5444444444444444,0.4,0.27137847264431536,0.7708123245422375,0.2611612400192216,rice,0.909090335539076
0.6142857142857142,0.6,0.375,0.4881680841145002,0.7915324783376879,0.6173174249411497,rice,0.9912286327110258
0.4357142857142857,0.5222222222222223,0.45000000000000007,0.45032991795184407,0.8123034184744057,0.5998746965952713,rice,0.921344894523136
0.5571428571428572,0.4222222222222222,0.4625,0.27979511760465947,0.8019375686782435,0.7061314885970518,rice,0.8959795744719137
0.5214285714285715,0.3333333333333333,0.41250000000000003,0.4462458092573338,0.7899930096688791,0.1058453829562942,rice,0.8823866970653653
0.5499999999999999,0.34444444444444444,0.4,0.5393921800753183,0.7839394559199626,0.40377798471980975,rice,0.900685621606069
0.5785714285714285,0.39999999999999997,0.41250000000000003,0.343038326044836,0.8104012508016996,0.7694535401041325,rice,0.913613985695044
